District_number,district,District
2,دهکده المپیک,22
3,زیبا دشت بالا,22
4,گلستان شرقی,22
5,زیبادشت پائین,22
6,شریف,22
7,گلستان غربی,22
8,امید – دژبان,22
9,شهید باقری,22
10,آزادشهر,22
11,پیکان شهر,22
12,دریاچه چیتگر,22
13,شهرک راه آهن – شهرک گلستان,22
14,شهرک دانشگاه,21
15,چیتگر شمالی,21
16,چیتگر جنوبی (شهرک ۲۲ بهمن),21
17,ویلا شهر,21
18,وردآورد,21
19,شهرک غزالی,21
20,شهرک شهرداری,21
21,اتوبان تهران کرج,21
22,بزرگراه فتح,21
23,تهرانسر,21
24,شهرک ۲۲بهمن,21
25,شهرک دانشگاه شریف,21
26,اقدسیه,20
27,صفائیه,20
28,ظهیر آباد,20
29,غیوری,20
30,جوانمرد,20
31,حمزه آباد,20
32,دیلمان,20
33,فیروزآبادی,20
34,منصوریه,20
35,۱۳آبان,20
36,دولت اباد,20
37,شهادت,20
38,استخر,20
39,بهشتی,20
40,سرتخت,20
41,علائین,20
42,نفر آباد,20
43,ولی آباد,20
44,امین آباد,20
45,تقی آباد,20
46,نظامی,20
47,عباس آباد,20
48,کهریزک,20
49,خانی آباد نو شمالی,19
50,اسفندیاری و بستان,19
51,بهمنیار,19
52,خانی آباد نو جنوبی,19
53,شریعتی جنوبی,19
54,شریعتی شمالی,19
55,شکوفه جنوبی,19
56,شکوفه شمالی,19
57,نعمت آباد,19
58,دولت خواه,19
59,اسماعیل آباد,19
60,شهید کاظمی,19
61,رسالت,19
62,خانی آباد نو,19
63,عبدل آباد,19
64,فردوس,18
65,تولیدارو,18
66,بهداشت,18
67,ولیعصر شمالی,18
68,رجائی,18
69,ولیعصر جنوبی,18
70,صادقیه,18
71,صاحب الزمان,18
72,یافت آباد جنوبی,18
73,یافت آباد شمالی,18
74,شاد آباد,18
75,هفده شهریور,18
76,امام خمینی (ره ),18
77,شمس آباد,18
78,خلیج فارس شمالی,18
79,خلیج فارس جنوبی,18
80,اتوبان آزادگان,18
81,خلیج فارس,18
82,سعید آباد,18
83,شهرک صاحب الزمان,18
84,شهرک ولیعصر,18
85,ابوذر غربی,17
86,آذری,17
87,امامزاده حسن(ع),17
88,یافت آباد,17
89,جلیلی,17
90,زهتابی,17
91,زمزم,17
92,سجاد,17
93,گلچین,17
94,وصفنارد,17
95,ابوذر شرقی,17
96,باغ خزانه,17
97,بلورسازی,17
98,مقدم,17
99,ابوذر,17
100,امام زاده حسن,17
101,قزوین,17
102,قلعه مرغی,17
103,میدان بهاران,17
104,جوادیه,16
105,نازی آباد,16
106,خزانه,16
107,شهرک بعثت,16
108,علی آباد شمالی,16
109,یاخچی آباد و چهارصد دستگاه,16
110,تختی,16
111,علی آباد جنوبی,16
112,باغ آذری,16
113,راه آهن,16
114,رجایی,16
115,هلال احمر,16
116,یاخچی آباد,16
117,مظاهری,15
118,مینابی,15
119,بیسیم,15
120,شوش,15
121,طیب,15
122,مطهری,15
123,ابوذر,15
124,هاشم آباد,15
125,اتابک,15
126,شهید بروجردی,15
127,کیانشهر شمالی,15
128,کیانشهر جنوبی,15
129,رضویه,15
130,مشیریه,15
131,افسریه شمالی,15
132,افسریه جنوبی,15
133,مسعودیه,15
134,والفجر,15
135,قیامدشت,15
136,خاورشهر,15
137,آهنگ,15
138,اتوبان بعثت,15
139,افسریه,15
140,خاوران,15
141,مشیریه,15
142,شکوفه,14
143,چهارصد دستگاه,14
144,جابری,14
145,دژکام,14
146,شاهین,14
147,مینای شمالی,14
148,نیکنام,14
149,آهنگران,14
150,بروجردی,14
151,صد دستگاه,14
152,فرزانه,14
153,سر آسیب دولاب,14
154,شیوا,14
155,نبی اکرم (ص),14
156,شهرابی ( قیام ),14
157,شکیب,14
158,پرستار,14
159,سیزده آبان,14
160,ابوذر,14
161,تاکسیرانی,14
162,مینای جنوبی,14
163,دولاب,14
164,خاوران,14
165,آهنگ شرقی,14
166,آهنگ,14
167,قصر فیروزه,14
168,اتوبان محلاتی,14
169,افراسیابی شمالی,14
170,اندرزگو,14
171,پاسدارگمنام,14
172,شهید محلاتی,14
173,فلاح,14
174,نبرد,14
175,هفده شهریور,14
176,صفا,13
177,شهید اسدی,13
178,زاهد گیلانی,13
179,اشراقی,13
180,دهقان,13
181,نیروی هوایی,13
182,پیروزی,13
183,حافظیه,13
184,امامت,13
185,شورا,13
186,آشتیانی,13
187,زینبیه,13
188,سرخه حصار,13
189,تهران نو,13
190,دماوند,13
191,نیرو هوایی,13
192,بهارستان,12
193,فردوسی,12
194,امامزاده یحیی,12
195,پامنار,12
196,بازار,12
197,سنگلج,12
198,تختی,12
199,هرندی,12
200,آبشار,12
201,قیام,12
202,کوثر,12
203,ایران,12
204,دروازه شمیران,12
205,امین حضور,12
206,پانزده خرداد,12
207,پیچ شمیران,12
208,خراسان,12
209,ری,12
210,سعدی,12
211,لاله زارنو,12
212,مولوی,12
213,میدان قیام,12
214,شیخ هادی,11
215,انقلاب,11
216,امیریه ( فرهنگ ),11
217,فروزش,11
218,قلمستان,11
219,منیریه,11
220,حشمت الدوله – جمالزاده,11
221,اسکندری,11
222,دخانیات,11
223,مخصوص,11
224,جمهوری,11
225,حر,11
226,انبار نفت,11
227,آگاهی,11
228,راه آهن,11
229,عباسی,11
230,هلال احمر,11
231,ابوسعید,11
232,اسکندری جنوبی,11
233,پاستور,11
234,حسن آباد,11
235,گمرک,11
236,وحدت اسلامی,11
237,ولیعصر,11
238,کارگر جنوبی,11
239,کاشان,11
240,بریانک,10
241,سلیمانی تیموری,10
242,شبیری جی,10
243,هفت چنار,10
244,سلسبیل جنوبی,10
245,کارون جنوبی,10
246,هاشمی,10
247,زنجان جنوبی,10
248,سلسبیل شمالی,10
249,کارون شمالی,10
250,آذربایجان,10
251,آزادی,10
252,امام خمینی,10
253,جیحون,10
254,حسام الدین,10
255,خوش,10
256,دامپزشکی,10
257,رودکی,10
258,سینا,10
259,قصرالدشت,10
260,مالک اشتر,10
261,نواب,10
262,کارون,10
263,کمیل,10
264,استادمعین,9
265,دکتر هوشیار,9
266,شهید دستغیب,9
267,فتح,9
268,امامزاده عبداله,9
269,شمشیری,9
270,سرآسیاب مهرآباد,9
271,مهرآبادجنوبی,9
272,استاد معین,9
273,سی متری جی,9
274,طوس,9
275,مهر آباد جنوبی,9
276,مهرآباد,9
277,امامزاده عبدالله,9
278,فتح – صنعتی,9
279,تهرانپارس,8
280,دردشت,8
281,مدائن,8
282,هفت حوض,8
283,فدک,8
284,زرکش,8
285,نارمک,8
286,مجیدیه,8
287,کرمان,8
288,لشگر شرقی,8
289,لشگر غربی,8
290,وحیدیه,8
291,تسلیحات,8
292,جشنواره,8
293,سبلان,8
294,شارق الف,7
295,دهقان,7
296,شارق ب,7
297,گرگان,7
298,نظام آباد,7
299,خواجه نصیر و حقوقی,7
300,خواجه نظام شرقی,7
301,خواجه نظام غربی,7
302,کاج,7
303,امجدیه خاقانی,7
304,بهار,7
305,سهروردی باغ صبا,7
306,شهیدقندی- نیلوفر,7
307,عباس آباد- اندیشه,7
308,حشمتیه,7
309,دبستان,7
310,اراامنه الف,7
311,اراامنه ب,7
312,قصر,7
313,آپادانا,7
314,امام حسین,7
315,انقلاب,7
316,خواجه نظام,7
317,سرباز,7
318,سهروردی,7
319,شریعتی,7
320,شهید مدنی,7
321,شیخ صفی,7
322,عباس آباد,7
323,مدنی,7
324,مرودشت,7
325,مطهری,7
326,مفتح جنوبی,7
327,هفت تیر,7
328,نجات اللهی,6
329,ایرانشهر,6
330,پارک لاله,6
331,کشاورز غربی,6
332,نصرت,6
333,۱۶آذر,6
334,سنایی,6
335,بهجت آباد,6
336,عباس آباد,6
337,قزل قلعه,6
338,سیندخت,6
339,گلها,6
340,شیراز جنوبی,6
341,گاندی,6
342,ساعی,6
343,یوسف آباد,6
344,جهاد,6
345,جنت,6
346,آرژانتین,6
347,اتوبان همت,6
348,اسکندری,6
349,امیر آباد,6
350,بلوار کشاورز,6
351,توانیر,6
352,جمال زاده,6
353,حافظ,6
354,زرتشت,6
355,طالقانی,6
356,فاطمی,6
357,فلسطین,6
358,مییدان انقلاب اسلامی,6
359,میدان ولیعصر,6
360,وزراء,6
361,کارگر شمالی,6
362,کردستان,6
363,کریم خان,6
364,شهران جنوبی,5
365,شهران شمالی,5
366,شهرزیبا,5
367,اندیشه,5
368,بهاران,5
369,کن,5
370,المهدی,5
371,باغ فیض,5
372,پونک جنوبی,5
373,پونک شمالی,5
374,حصارک,5
375,شهرک نفت,5
376,کوهسار,5
377,مرادآباد,5
378,پرواز,5
379,سازمان برنامه جنوبی,5
380,سازمان برنامه شمالی,5
381,ارم,5
382,سازمان آب,5
383,اباذر,5
384,فردوس,5
385,مهران,5
386,اکباتان,5
387,بیمه,5
388,آپادانا,5
389,جنت آباد جنوبی,5
390,جنت آباد شمالی,5
391,جنت آباد مرکزی,5
392,شاهین,5
393,آیت الله کاشانی,5
394,اشرفی اصفهانی,5
395,ایران زمین شمالی,5
396,بلوار تعاون,5
397,بلوار فردوس,5
398,بولیوار,5
399,پونک,5
400,پیامبر,5
401,جنت آباد,5
402,سازمان برنامه,5
403,ستاری,5
404,سردار جنگل,5
405,سولقان,5
406,شهر زیبا,5
407,شهران,5
408,شهرک اکباتان,5
409,شهید مهدی باکری,5
410,مهران,4
411,کاظم آباد,4
412,کوهک,4
413,مجیدیه و شمس آباد,4
414,پاسداران و ضرابخانه,4
415,حسین آباد و مبارک آباد,4
416,شیان و لویزان,4
417,علم و صنعت,4
418,نارمک,4
419,تهرانپارس غربی,4
420,جوادیه,4
421,خاک سفید,4
422,تهرانپارس شرقی,4
423,قاسم آباد و ده نارمک,4
424,اوقاف,4
425,شمیران نو,4
426,حکیمیه,4
427,قنات کوثر,4
428,کوهسار,4
429,مجید آباد,4
430,اتوبان بابایی,4
431,اتوبان باقری,4
432,اتوبان صیاد شیرازی,4
433,بنی هاشم,4
434,پلیس,4
435,دلاوران,4
436,رسالت,4
437,سراج,4
438,شمس آباد,4
439,شهدا,4
440,صیاد شیرازی,4
441,علم وصنعت,4
442,فرجام,4
443,لویزان,4
444,میدان ملت,4
445,هروی,4
446,هنگام,4
447,آرارات,3
448,ونک,3
449,امانیه,3
450,زرگنده,3
451,درب دوم,3
452,رستم آباد و اختیاریه,3
453,داودیه,3
454,سید خندان,3
455,دروس,3
456,قبا,3
457,قلهک,3
458,کاوسیه,3
459,اختیاریه,3
460,پاسداران,3
461,جردن,3
462,جلفا,3
463,خواجه عبداله,3
464,دولت ( کلاهدوز ),3
465,شیخ بهایی,3
466,شیراز,3
467,ظفر,3
468,ملاصدرا,3
469,میدان کتابی,3
470,میرداماد,3
471,ولیعصر(بین پارک وی ونیایش),3
472,بوعلی,2
473,سعادت آباد,2
474,مدیریت,2
475,کوهسار,2
476,پونک,2
477,شهید چوب تراش,2
478,شهید خرم رودی,2
479,صادقیه شمالی شهرک هما,2
480,صادقیه,2
481,شهرآرا,2
482,کوی نصر,2
483,پردیسان,2
484,شهرک آزمایش,2
485,تهران ویلا,2
486,برق آلستوم,2
487,تیموری,2
488,طرشت,2
489,همایونشهر,2
490,توحید,2
491,زنجان,2
492,شادمهر,2
493,ایوانک,2
494,دریا,2
495,شهرک قدس,2
496,آسمانها,2
497,درختی,2
498,فرحزاد,2
499,مخابرات,2
500,پرواز,2
501,آزادی,2
502,اتوبان حکیم,2
503,اتوبان شیخ فضل اله نوری,2
504,اتوبان محمد علی جناح,2
505,اتوبان نیایش,2
506,اتوبان یادگار امام,2
507,بهبودی,2
508,جلال آل احمد,2
509,خوش شمالی,2
510,ستارخان,2
511,شادمان,2
512,شهرک ژاندارمری,2
513,شهرک غرب,2
514,گیشا,2
515,مترو شریف,2
516,مرزداران,2
517,حصاربوعلی,1
518,رستم آباد- فرمانیه,1
519,اوین,1
520,درکه,1
521,زعفرانیه,1
522,محمودیه,1
523,ولنجک,1
524,امام زاده قاسم (ع),1
525,دربند,1
526,گلابدره,1
527,جماران,1
528,دزاشیب,1
529,نیاوران,1
530,اراج,1
531,کاشانک,1
532,شهرک دانشگاه,1
533,شهرک نفت,1
534,دارآباد,1
535,باغ فردوس,1
536,تجریش,1
537,قیطریه,1
538,چیذر,1
539,حکمت,1
540,ازگل,1
541,سوهانک,1
542,شهید محلاتی,1
543,اتوبان امام علی,1
544,اتوبان صدر,1
545,اقدسیه,1
546,الهیه – فرشته,1
547,اندرزگو,1
548,بلوار ارتش,1
549,پارک وی,1
550,تجریش,1
551,جمشیدیه,1
552,دیباجی,1
553,سعدآباد,1
554,صاحبقرانیه,1
555,فرمانیه,1
556,قیطریه,1
557,محمودیه,1
558,مقدس اردبیلی,1
559,مینی سیتی,1
560,نوبنیاد,1
561,ولیعصر,1
562,کاشانک,1
563,کامرانیه,1
564,دریاچه شهدای خلیج فارس,18
565,الهیه,1
566,شهرک نفت (منطقه ۱),1
567,مبارک آباد بهشتی,20
568,کوی فردوس,5
569,چیتگر,22
570,شهرک نفت (منطقه ۵),5
571,آجودانیه,1
572,اندیشه (شهر زیبا),5
573,مهرآباد جنوبی,9
574,سلسبیل,10
575,دانشگاه شریف,2
576,دانشگاه تهران,6
577,پاتریس لومومبا,2
578,جی,10
579,تهران سر,21
580,شهرک راه آهن,22
581,امیرآباد,6
582,قیام دشت,15
583,نیلوفر,7
584,دانشگاه علم و صنعت,4
585,دولت آباد,20
586,خواجه نصیر طوسی,7
587,امام سجاد(ع),7
588,گیشا (کوی نصر),2
589,امیریه,11
590,ابوذر (منطقه ۱۵),15
591,سلیمانی,10
592,شهرک امید,4
593,آبشار تهران,22
594,شهرک شریعتی,19
595,سرو آزاد,22
596,شهرک شهید باقری,22
597,امام حسین(ع),12
598,ابراهیم آباد,18
599,شیان,4
600,لشکر,11
601,جوادیه تهرانپارس,4
602,کوی مهران,5
603,شهرک تختی,16
604,شریف آباد,0
605,ائمه اطهار,14
606,ظهیرآباد,20
607,حصار بوعلی,1
608,حسین آباد,4
609,شاهد,15
610,دریان نو,2
611,شهرک پرواز,5
612,شهید آوینی,20
613,کاروان,15
614,آسمان,2
615,جوانمرد قصاب,20
616,سیدخندان,7
617,کوی بیمه,5
618,شیرازی,3
619,ابن بابویه,20
620,خانی آباد,19
621,میدان انقلاب,11
622,تولید دارو,18
623,امیر بهادر,11
624,شهرک آزادی,21
625,نارمک جنوبی,8
626,شارق شرقی,7
627,میدان حر,11
628,علی آباد,16
629,خواجه نظام الملک,7
630,سلامت,0
631,شهرک کیانشهر,15
632,گلاب دره,1
633,کوی فراز,2
634,سعیدآباد,18
635,شهرک والفجر (منطقه ۶),6
636,شادآباد,18
637,کوی هفدهم شهریور,14
638,مجیدآباد,4
639,شهرک فردوس,18
640,عارف,14
641,خاقانی,7
642,زیبادشت,22
643,هوانیروز,22
644,اتحاد,7
645,مینا,14
646,شهرک سینمایی,21
647,ارامنه,7
648,شهرک کوهسار,5
649,شهرک محلاتی,1
650,شهرک صدرا,22
651,امامزاده قاسم,1
652,شهرک فرهنگیان,21
653,صفائیه (چشمه علی),20
654,شاندیز,18
655,دولتخواه,19
656,شبیری,10
657,شهرک امام خمینی,18
658,منصوریه (پل سیمان),20
659,کوی نوبنیاد,1
660,قاسم آباد,10
661,سپهر,2
662,نبی اکرم(ص),14
663,کریم آباد,19
664,صالح آباد شرقی,19
665,دلگشا,14
666,سیروس,12
667,بهمن یار,19
668,شهرک پاسداران,21
669,فرودگاه مهرآباد,9
670,شهرک آسمان,22
671,شهید رجایی,16
672,شهرک دریا,21
